P1_lpo_loRa,P1_ratio_loRa,P1_conc_loRa,P2_lpo_loRa,P2_ratio_loRa,P2_conc_loRa,Temperature_loRa,Pressure_loRa,Humidity_loRa,pm1Palas,pm2_5Palas,pm4Palas,pm10Palas,pmTotalPalas,dCnPalas
41609,0.28,144.6,176286,1.18,608.28,18.61,98914,78,7.45,9.14666666666667,11.2866666666667,13.6933333333333,16.2333333333333,190.266666666667
0,0.0,0.62,110801,0.74,383.1,18.58,98912,78,7.45,9.15,11.29,13.69,16.2333333333333,190.276666666667
0,0.0,0.62,212906,1.42,734.18,18.52,98914,78,7.45,9.15,11.29,13.69,16.2266666666667,190.293333333333
126122,0.84,435.81,391311,2.61,1350.83,18.49,98918,78,7.45,9.15,11.29,13.68,16.2133333333333,190.323333333333
0,0.0,0.62,143082,0.95,494.13,18.47,98916,78,7.45,9.15,11.29,13.68,16.2066666666667,190.353333333333
0,0.0,0.62,28572,0.19,99.54,18.43,98920,79,7.45,9.15,11.29,13.67,16.1933333333333,190.383333333333
50794,0.34,176.31,446765,2.98,1544.76,18.46,98912,79,7.46,9.15,11.29,13.67,16.1866666666667,190.426666666667
73521,0.49,254.71,431181,2.87,1490.11,18.49,98917,78,7.46,9.15,11.29,13.6633333333333,16.1766666666667,190.456666666667
49098,0.33,170.46,469726,3.13,1625.52,18.53,98916,78,7.46,9.15666666666667,11.3,13.67,16.1766666666667,190.506666666667
0,0.0,0.62,234541,1.56,808.61,18.61,98917,78,7.46,9.16,11.3,13.66,16.1666666666667,190.546666666667
215719,1.44,743.86,438206,2.92,1514.73,18.68,98916,78,7.46,9.16,11.3,13.6666666666667,16.1666666666667,190.593333333333
91665,0.61,317.22,309543,2.06,1067.19,18.74,98920,77,7.46666666666667,9.16,11.3,13.6666666666667,16.1633333333333,190.63
0,0.0,0.62,272411,1.82,939.03,18.79,98916,77,7.47,9.16333333333333,11.31,13.67,16.1633333333333,190.673333333333
45958,0.31,159.62,404855,2.7,1398.06,18.82,98918,77,7.47,9.17,11.31,13.68,16.18,190.706666666667
0,0.0,0.62,127106,0.85,439.19,18.89,98919,77,7.47,9.17,11.3166666666667,13.71,16.22,190.75
0,0.0,0.62,107746,0.72,372.59,18.93,98915,77,7.47,9.18,11.32,13.7066666666667,16.2133333333333,190.796666666667
164104,1.09,566.41,818567,5.46,2903.92,18.93,98913,76,7.48,9.18,11.3266666666667,13.71,16.2133333333333,190.87
0,0.0,0.62,172371,1.15,594.82,18.92,98916,77,7.48,9.18333333333333,11.3333333333333,13.7266666666667,16.23,190.903333333333
229689,1.53,791.91,599779,4.0,2089.42,18.9,98916,77,7.48,9.19,11.34,13.73,16.23,190.956666666667
0,0.0,0.62,314031,2.09,1082.7,18.92,98917,77,7.48,9.19,11.3466666666667,13.73,16.23,190.983333333333
90611,0.6,313.59,504539,3.36,1748.56,18.86,98918,76,7.48,9.19,11.3466666666667,13.73,16.2266666666667,191.02
42883,0.29,149.0,136871,0.91,472.78,18.81,98926,77,7.48,9.19666666666667,11.35,13.73,16.22,191.036666666667
73487,0.49,254.59,372365,2.48,1284.9,18.75,98919,77,7.49,9.2,11.3533333333333,13.73,16.2166666666667,191.076666666667
36735,0.24,127.76,109221,0.73,377.66,18.7,98916,77,7.49,9.2,11.35,13.7266666666667,16.2066666666667,191.096666666667
0,0.0,0.62,236903,1.58,816.74,18.63,98922,77,7.49,9.2,11.35,13.7166666666667,16.1933333333333,191.12
0,0.0,0.62,135634,0.9,468.52,18.58,98924,78,7.49,9.2,11.35,13.71,16.18,191.15
64669,0.43,224.19,347440,2.32,1198.36,18.54,98925,78,7.49,9.2,11.35,13.7033333333333,16.1733333333333,191.2
81913,0.55,283.63,255197,1.7,879.72,18.48,98923,78,7.49666666666667,9.2,11.35,13.7,16.1633333333333,191.24
70098,0.47,242.91,386368,2.58,1333.62,18.43,98922,78,7.5,9.20666666666667,11.35,13.6966666666667,16.15,191.34
261549,1.74,901.6,480797,3.21,1664.57,18.37,98919,79,7.5,9.21,11.3633333333333,13.7433333333333,16.2133333333333,191.38
53053,0.35,184.11,288178,1.92,993.41,18.33,98915,79,7.5,9.21666666666667,11.3733333333333,13.7433333333333,16.22,191.42
